latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
46.933601,-96.854698,"Fargo,ND",2022-11-07 19:00:00,35,na,59,6.8,9.6,na,35
44.50729,-87.99344,"Green Bay,WI",2022-11-07 20:00:00,10,na,63,na,18.1,na,10
36.10638,-115.25333,"Spring Valley,NV",2021-05-18 05:00:00,23,0.1,28.7,6.3,9,19,23
35.2015839,-101.9092481,"Amarillo,TX",,-,na,71.2,na,na,na,na
45.496640911,-122.60287735,"Portland,ME",2022-11-07 17:00:00,24,1.2,94.5,3.6,23.8,na,9
34.42775,-119.69091,"Santa Barbara,CA",2022-11-07 18:00:00,34,na,33,na,17.6,6,34
29.566111111111,-82.266111111111,"Gainesville,FL",2022-11-07 20:00:00,22,na,61,na,11.4,na,22
47.029396,-122.821548,"Olympia,WA",2022-11-07 20:00:00,9,na,96,na,20,na,9
37.76595,-122.39902,"Frisco,TX",2022-11-07 18:00:00,26,2.7,79,4.7,25.6,na,9
40.867985,-73.87808,"Yonkers,NY",2022-11-07 20:00:00,27,1.2,31,15.2,30.4,na,27
52.614193,1.301976,"Norwich,CT",2022-11-08 02:00:00,30,na,92,1.1,28,12,30
33.569166666667,-112.19138888889,"Glendale,CA",2022-11-07 19:00:00,22,12.3,25,36.2,22.4,18,18
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
44.044306,-79.48325,"Aurora,IL",2022-11-07 20:00:00,17,na,72,2.8,12.8,na,17
33.411111111111,-111.93472222222,"Tempe,AZ",2022-11-07 19:00:00,51,na,39.5,na,1.6,51,50
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
36.14187,-115.07874,"Sunrise Manor,NV",2021-05-18 05:00:00,21,0.1,30,8.1,13,19,21
na,na,na,na,na,na,na,na,na,na,na
36.69426,-121.62327,"Salinas,CA",2022-11-07 18:00:00,27,1.2,58,2.8,27.2,na,9
41.5503,-73.0442,"Waterbury,CT",2022-11-07 21:00:00,19,na,10,na,na,na,19
36.5144,-87.3278,"Clarksville,TN",2022-11-07 20:00:00,13,na,53,na,na,na,13
41.9767,-91.6878,"Cedar Rapids,IA",2022-11-07 19:00:00,23,na,64,na,na,na,23
43.54792,-96.700768,"Sioux Falls,SD",2021-03-09 11:00:00,37,na,41,na,36.8,na,na
34.51096,-117.32555,"Huntington,WV",2022-11-07 18:00:00,19,na,63,3.8,19.2,9,9
34.10367,-117.62906,"Ontario,CA",2022-11-07 18:00:00,24,1.6,84,6.5,0.1,4,24
39.565601,-77.721901,"Hagerstown,MD",2022-11-07 12:00:00,-,na,35,na,20.8,na,9
42.1428,-80.0372,"Erie,PA",2022-11-07 20:00:00,28,4.5,64,1,24.1,26,28
49.26029,-123.077811,"Vancouver,WA",2022-11-07 17:00:00,22,0.1,66,5.6,7.6,na,22
43.58031,-116.562676,"Nampa,ID",2022-11-07 19:00:00,18,2.4,57.5,17.6,55.8,18,17
34.955601,-81.924797,"Spartanburg,SC",2022-11-07 21:00:00,45,na,94,na,na,na,45
35.253101,-81.153297,"Gastonia,NC",,-,na,88.3,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
41.463071,-82.114261,"Lorain,OH",2021-09-27 12:00:00,28,na,49,na,na,na,28
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
37.10373,-76.38701,"Newport News,VA",2022-11-07 21:00:00,30,0.1,82,1.7,11.4,13,30
34.10367,-117.62906,"Rancho Cucamonga,CA",2022-11-07 18:00:00,24,1.6,84,6.5,0.1,4,24
