aqi_date_loc,time_updated,o3,pm10,pm25
"3,Wichita,KS",2022-11-07 20:00:00,13,7,19
"4,Wichita,KS",2022-11-07 20:00:00,15,1,3
"5,Wichita,KS",2022-11-07 20:00:00,17,2,5
"1,Toledo,OH",2022-11-07 21:00:00,11,3,8
"2,Toledo,OH",2022-11-07 21:00:00,9,7,20
"3,Toledo,OH",2022-11-07 21:00:00,12,9,29
"4,Toledo,OH",2022-11-07 21:00:00,11,8,23
"5,Toledo,OH",2022-11-07 21:00:00,12,3,9
"1,Staten Island,NY",2022-11-07 21:00:00,6,8,20
"2,Staten Island,NY",2022-11-07 21:00:00,4,30,65
"3,Staten Island,NY",2022-11-07 21:00:00,2,34,68
"4,Staten Island,NY",2022-11-07 21:00:00,6,28,55
"5,Staten Island,NY",2022-11-07 21:00:00,11,3,8
"1,Des Moines,IA",2022-11-07 20:00:00,13,8,30
"2,Des Moines,IA",2022-11-07 20:00:00,9,9,34
"3,Des Moines,IA",2022-11-07 20:00:00,12,6,21
"4,Des Moines,IA",2022-11-07 20:00:00,13,1,3
"5,Des Moines,IA",2022-11-07 20:00:00,14,1,3
"1,Long Beach,CA",2022-05-05 14:00:00,15,21,44
"2,Long Beach,CA",2022-05-05 14:00:00,14,15,26
"3,Long Beach,CA",2022-05-05 14:00:00,18,26,24
"4,Long Beach,CA",2022-05-05 14:00:00,16,21,19
na,na,na,na,na
"1,Denton,TX",2022-11-07 20:00:00,4,13,43
"2,Denton,TX",2022-11-07 20:00:00,8,14,37
"3,Denton,TX",2022-11-07 20:00:00,10,9,30
"4,Denton,TX",2022-11-07 20:00:00,13,2,5
"5,Denton,TX",2022-11-07 20:00:00,15,1,3
"1,Madison,WI",2022-11-07 20:00:00,9,5,15
"2,Madison,WI",2022-11-07 20:00:00,12,12,45
"3,Madison,WI",2022-11-07 20:00:00,13,12,47
"4,Madison,WI",2022-11-07 20:00:00,13,4,13
"5,Madison,WI",2022-11-07 20:00:00,13,1,3
na,na,na,na,na
"1,Harrisburg,PA",2022-11-07 20:00:00,11,2,5
"2,Harrisburg,PA",2022-11-07 20:00:00,8,8,24
"3,Harrisburg,PA",2022-11-07 20:00:00,7,17,43
"4,Harrisburg,PA",2022-11-07 20:00:00,7,15,34
"5,Harrisburg,PA",2022-11-07 20:00:00,9,2,5
"1,Little Rock,AR",2022-11-07 20:00:00,8,13,48
"2,Little Rock,AR",2022-11-07 20:00:00,9,13,48
"3,Little Rock,AR",2022-11-07 20:00:00,12,13,41
"4,Little Rock,AR",2022-11-07 20:00:00,8,10,28
"5,Little Rock,AR",2022-11-07 20:00:00,16,2,3
