lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"46.4846547,30.6964293",46.4846547,30.6964293,"Odessa,NE",3/6/2020 21:00,90,na,99.9,na,na,54,90
"38.53455,-121.7734",38.53455,-121.7734,"Dixon,NE",11/8/2022 1:00,16,na,87,3.2,16,na,2
"-33.872468,151.213337",-33.872468,151.213337,"Sidney,IN",11/8/2022 19:00,10,1.2,72.2,13,9.6,5,6
"34.1992,-118.53275",34.1992,-118.53275,"Chatsworth,IA",11/8/2022 1:00,45,3.4,93,12.2,4.8,na,45
"38.77335,-77.10468",38.77335,-77.10468,"Rose Hill,IL",11/8/2022 4:00,15,0.1,37,1.8,13.9,9,15
"40.28308,-74.74264",40.28308,-74.74264,"Princeton,SC",11/8/2022 4:00,37,na,63,1.9,21.6,na,37
"36.19126,-115.12293",36.19126,-115.12293,"Westside,CA",2/8/2020 19:00,7,0.1,na,6.6,7.4,24,21
"38.650259,-90.350463",38.650259,-90.350463,"Kirkwood,CA",11/8/2022 3:00,25,na,63,na,na,na,25
"46.933601,-96.854698",46.933601,-96.854698,"Fargo,AR",11/8/2022 2:00,18,na,55,2.6,16,na,18
"41.864329,-87.748826",41.864329,-87.748826,"Berwyn,NE",11/8/2022 3:00,21,na,67,na,na,na,21
"40.72102,-74.1928",40.72102,-74.1928,"Garrison,MT",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
"47.3768866,8.541694",47.3768866,8.541694,"Lucerne,MO",11/8/2022 10:00,12,na,87,4.6,12.2,12,na
"38.0112,-121.813",38.0112,-121.813,"Antioch,OH",11/5/2020 11:00,27,na,42.2,na,na,na,27
"39.934635,-75.126126",39.934635,-75.126126,"Camden,IL",11/8/2022 4:00,26,1.2,54,2.8,26.4,na,18
"40.55013,-122.38092",40.55013,-122.38092,"Redding,IA",11/8/2022 1:00,25,na,84,na,24.8,na,5
"45.470501,9.19746075",45.470501,9.19746075,"Milan,KS",11/5/2022 23:00,59,0.1,74,28.4,na,22,59
"34.1992,-118.53275",34.1992,-118.53275,"Encino,NM",11/8/2022 1:00,45,3.4,93,12.2,4.8,na,45
"42.1406,-87.7994",42.1406,-87.7994,"Deerfield,MO",11/8/2022 3:00,20,na,76.2,na,18.4,na,20
"40.33733,-76.383446",40.33733,-76.383446,"Lebanon,NE",11/8/2022 3:00,26,na,72,1.9,20,21,26
"47.059444,15.466666",47.059444,15.466666,"Gratz,KY",11/8/2022 10:00,37,na,70.5,15.1,na,37,na
"35.9803,-83.9306",35.9803,-83.9306,"Knoxville,GA",11/8/2022 4:00,28,na,64,na,na,na,28
